DATE,birth_rate
1960-01-01,23.7
1961-01-01,23.3
1962-01-01,22.4
1963-01-01,21.7
1964-01-01,21.1
1965-01-01,19.4
1966-01-01,18.4
1967-01-01,17.8
1968-01-01,17.6
1969-01-01,17.9
1970-01-01,18.4
1971-01-01,17.2
1972-01-01,15.6
1973-01-01,14.8
1974-01-01,14.8
1975-01-01,14.6
1976-01-01,14.6
1977-01-01,15.1
1978-01-01,15
1979-01-01,15.6
1980-01-01,15.9
1981-01-01,15.8
1982-01-01,15.9
1983-01-01,15.6
1984-01-01,15.6
1985-01-01,15.8
1986-01-01,15.6
1987-01-01,15.7
1988-01-01,16
1989-01-01,16.4
1990-01-01,16.7
1991-01-01,16.2
1992-01-01,15.8
1993-01-01,15.4
1994-01-01,15
1995-01-01,14.6
1996-01-01,14.4
1997-01-01,14.2
1998-01-01,14.3
1999-01-01,14.2
2000-01-01,14.4
2001-01-01,14.1
2002-01-01,14
2003-01-01,14.1
2004-01-01,14
2005-01-01,14
2006-01-01,14.3
2007-01-01,14.3
2008-01-01,14
2009-01-01,13.5
2010-01-01,13
2011-01-01,12.7
2012-01-01,12.6
2013-01-01,12.4
2014-01-01,12.5
2015-01-01,12.4
2016-01-01,12.2
2017-01-01,11.8
2018-01-01,11.6
2019-01-01,11.4
2020-01-01,10.9
2021-01-01,11.0
